implementation_id,language_id,date_added,example,result,notes,syntax
175,6,2026-03-31,"balance = 1000.0 - 250.75
puts balance",749.25,"Also: [1,2,3] - [2]  = [1,3]",a - b
176,6,2026-03-31,"x = 12 * 8
puts x",96,"Also: ""ab"" * 3 = ""ababab""",a * b
177,6,2026-03-31,"div = 20 / 3
exact = 20.0 / 3
puts ""#{div}, #{exact}""","6, 6.666...",int/int truncates unless float,a / b
178,6,2026-03-31,"remainder = 17 % 5
puts remainder",2,Modulo operation,a % b
179,6,2026-03-31,"if ""active"" == ""active""
  puts ""Match""
end",Match,String equality,a == b
180,6,2026-03-31,"if 5 != 10
  puts ""NotEqual""
end",NotEqual,Inequality,a != b
181,6,2026-03-31,"if 21 > 18
  puts ""Adult""
end",Adult,Greater than,a > b
182,6,2026-03-31,"if 85 < 90
  puts ""Below""
end",Below,Less than,a < b
183,6,2026-03-31,"age = 25; license = true
if age >= 18 && license
  puts ""Drive""
end",Drive,Logical AND; short-circuits,a && b or a and b
184,6,2026-03-31,"day = 6
if day == 6 || day == 0
  puts ""Weekend""
end",Weekend,Logical OR; short-circuits,a || b or a or b
185,6,2026-03-31,"logged = false
if !logged
  puts ""Login""
end",Login,Logical NOT,!a or not a
186,6,2026-03-31,"x = 42
y = x
puts y",42,Assign right to left,a = b
187,6,2026-03-31,"flags = 0b0101
result = flags & 0b0011
puts result",1,Bitwise AND; b prefix = binary,a & b
188,6,2026-03-31,"flags = 0b0101
result = flags | 0b0010
puts result",7,Bitwise OR,a | b
189,6,2026-03-31,"# Ruby case equality; === checks membership
case_result = (1..10) === 5
puts case_result",true,Case equality; useful in case/when,a === b
259,6,2026-03-31,"arr = [10, 20, 30, 40, 50]
val = arr[2]
arr << 60","[10, 20, 30, 40, 50, 60]",Dynamic; grows automatically,array = [items]
260,6,2026-03-31,"class Node
  attr_accessor :data, :next
end
head = Node.new",Linked node,Class-based pointer structure,class Node; attr_accessor :next
261,6,2026-03-31,"class TreeNode
  attr_accessor :val, :left, :right
end
root = TreeNode.new",Binary tree,OOP recursive structure,class TreeNode; attr_accessor
262,6,2026-03-31,"graph = { ""A"" => [""B"", ""C""], ""B"" => [""A""] }
puts graph[""A""].inspect","[""B"", ""C""]",Hash as adjacency list,hash as graph
263,6,2026-03-31,"hash = {""apple"" => 1.50, ""banana"" => 0.75}
puts hash.inspect","{""apple""=>1.5, ""banana""=>0.75}",Built-in Hash,hash = {key => value}
264,6,2026-03-31,"stack = []
stack.push(10); stack.push(20)
top = stack.pop",20,Array as stack,array.push/pop
265,6,2026-03-31,"queue = []
queue.push(1); queue.push(2)
first = queue.shift",1,Array as queue,array.push/shift
266,6,2026-03-31,"require ""set""
set = Set.new([1, 3, 5, 1])
puts set.inspect","#<Set: {1, 3, 5}>",Built-in Set class,Set.new(array)
267,6,2026-03-31,"dict = {""name"" => ""Alice"", ""age"" => 25}
puts dict.inspect","{""name""=>""Alice"", ""age""=>25}",Hash as dictionary,hash = {key => val}
268,6,2026-03-31,"class Point
  attr_accessor :x, :y
end
p = Point.new; p.x = 10; p.y = 20",Point object,Custom struct,class Point; attr_accessor
95,7,2026-03-31,"package main
import ""fmt""
fmt.Println(""Hello, World!"")","Hello, World!",Println adds newline,fmt.Println(value)
96,7,2026-03-31,"package main
import (""fmt""; ""bufio""; ""os"")
scanner := bufio.NewScanner(os.Stdin)
scanner.Scan()
name := scanner.Text()",User input captured,Scanner for line input,bufio.NewScanner(os.Stdin)
97,7,2026-03-31,"package main
slice := []string{""apple"", ""banana""}
len := len(slice)
fmt.Println(len)",2,"len() works on slices, arrays, strings",len(collection)
98,7,2026-03-31,"package main
import (""fmt""; ""sort"")
nums := []int{5, 2, 9, 1}
sort.Ints(nums)
fmt.Println(nums)",[1 2 5 9],sort.Ints for int slices,sort.Ints(slice)
99,7,2026-03-31,"package main
var result []int
for _, n := range []int{1,2,3,4} {
  result = append(result, n*n)
}
fmt.Println(result)",[1 4 9 16],No built-in map; use loop,"for _, item := range coll {}"
100,7,2026-03-31,"package main
var adults []int
for _, age := range []int{12,18,25,8,30} {
  if age >= 18 {
    adults = append(adults, age)
  }
}",[18 25 30],Manual filter; append builds new,"if condition; append(slice, item)"
101,7,2026-03-31,"package main
var sum int
for _, n := range []int{1,2,3,4} {
  sum += n
}
fmt.Println(sum)",10,Accumulation loop,"for _, item := range coll; acc += f(item)"
102,7,2026-03-31,"package main
import (""os""; ""io/ioutil"")
data, _ := ioutil.ReadFile(""file.txt"")
content := string(data)",File content,ReadFile reads entire file,ioutil.ReadFile(filename)
103,7,2026-03-31,"package main
import (""fmt""; ""strings"")
line := ""apple,banana,cherry""
parts := strings.Split(line, "","")
fmt.Println(parts)",[apple banana cherry],strings.Split returns []string,"strings.Split(str, sep)"
104,7,2026-03-31,"package main
import (""fmt""; ""strings"")
words := []string{""Hello"", ""World""}
result := strings.Join(words, "" "")
fmt.Println(result)",Hello World,strings.Join reverse of Split,"strings.Join(slice, sep)"
190,7,2026-03-31,"package main
fmt.Println(15 + 7)",22,Numeric addition,a + b
191,7,2026-03-31,"package main
fmt.Println(1000.50 - 250.25)",750.25,Numeric subtraction,a - b
192,7,2026-03-31,"package main
fmt.Println(12 * 8)",96,Multiplication,a * b
193,7,2026-03-31,"package main
fmt.Println(20 / 3)",6,Integer division; truncates,a / b
194,7,2026-03-31,"package main
fmt.Println(17 % 5)",2,Modulo remainder,a % b
195,7,2026-03-31,"package main
if 5 == 5 { fmt.Println(""Equal"") }",Equal,Equality check,a == b
196,7,2026-03-31,"package main
if 5 != 10 { fmt.Println(""NotEq"") }",NotEq,Inequality check,a != b
197,7,2026-03-31,"package main
if 21 > 18 { fmt.Println(""Greater"") }",Greater,Greater than,a > b
198,7,2026-03-31,"package main
if 85 < 90 { fmt.Println(""Less"") }",Less,Less than,a < b
199,7,2026-03-31,"package main
if age >= 18 && license { fmt.Println(""OK"") }",OK,Logical AND; short-circuits,a && b
200,7,2026-03-31,"package main
if day == 6 || day == 0 { fmt.Println(""Wknd"") }",Wknd,Logical OR; short-circuits,a || b
201,7,2026-03-31,"package main
if !loggedIn { fmt.Println(""Login"") }",Login,Logical NOT,!a
202,7,2026-03-31,"package main
x := 42
y := x",42,Assignment with :=,x := value
203,7,2026-03-31,"package main
fmt.Println(0b0101 & 0b0011)",1,Bitwise AND,a & b
204,7,2026-03-31,"package main
fmt.Println(0b0101 | 0b0010)",7,Bitwise OR,a | b
205,7,2026-03-31,"package main
// Go has == only; no ===
fmt.Println(5 == 5)",true,Go uses == for all equality,a == b
269,7,2026-03-31,"package main
arr := [5]int{10, 20, 30, 40, 50}
val := arr[2]",30,Fixed-size; stack-based,[n]type{values}
270,7,2026-03-31,"package main
type Node struct { data int; next *Node }
head := &Node{data: 10}",Node pointer,Pointer-based structure,type Node struct { *next }
271,7,2026-03-31,"package main
type TreeNode struct { val int; left, right *TreeNode }
root := &TreeNode{val: 5}",Tree node,Recursive struct,type T struct { *left *right }
272,7,2026-03-31,"package main
graph := map[string][]string{
  ""A"": {""B"", ""C""},
}
fmt.Println(graph[""A""])",[B C],Adjacency list as map,map[string][]string
273,7,2026-03-31,"package main
import ""fmt""
table := make(map[string]float64)
table[""apple""] = 1.50",Map: apple=>1.5,Built-in map for hash,map[K]V{}
274,7,2026-03-31,"package main
stack := []int{}
stack = append(stack, 10)
stack = append(stack, 20)",[10 20],Slice as stack,"append(slice, item)"
275,7,2026-03-31,"package main
queue := []int{}
queue = append(queue, 1)
first := queue[0]
queue = queue[1:]",[2],Slice as queue,append/slicing
276,7,2026-03-31,"package main
set := make(map[int]bool)
set[1] = true
set[3] = true",map[int]bool,Map as set (bool values),map[T]bool
277,7,2026-03-31,"package main
dict := map[string]int{
  ""apple"": 1, ""banana"": 2,
}
val := dict[""apple""]",1,Map as dict,map[K]V{...}
278,7,2026-03-31,"package main
type Point struct { X, Y int }
p := Point{X: 10, Y: 20}
fmt.Println(p)",{10 20},Struct as custom type,type Point struct { X Y int }
105,8,2026-03-31,"println!(""Hello, World!"");","Hello, World!",Macro with ! suffix; adds newline,println!(args)
106,8,2026-03-31,"use std::io;
let mut input = String::new();
io::stdin().read_line(&mut input).unwrap();
let name = input.trim();",User input,read_line appends; trim removes newline,io::stdin().read_line()
107,8,2026-03-31,"let arr = vec![""apple"", ""banana""];
let len = arr.len();",2,len() for slices and Vec,collection.len()
108,8,2026-03-31,"let mut nums = vec![5, 2, 9, 1];
nums.sort();
println!(""{:?}"", nums);","[1, 2, 5, 9]",.sort() in-place; .clone().sort() for copy,vec.sort()
109,8,2026-03-31,"let nums = vec![1, 2, 3, 4];
let squared: Vec<_> = nums.iter().map(|x| x * x).collect();","[1, 4, 9, 16]",Iterator + map + collect pattern,vec.iter().map(|x| ...).collect()
110,8,2026-03-31,"let ages = vec![12, 18, 25, 8, 30];
let adults: Vec<_> = ages.iter().filter(|a| a >= &&18).map(|a| *a).collect();","[18, 25, 30]",Iterator:filter + map + collect,vec.iter().filter(...).collect()
111,8,2026-03-31,"let nums = vec![1, 2, 3, 4];
let sum: i32 = nums.iter().fold(0, |acc, x| acc + x);
println!(""{}"", sum);",10,fold instead of reduce for ownership,"vec.iter().fold(init, |acc, x| ...)"
112,8,2026-03-31,"use std::fs;
let content = fs::read_to_string(""file.txt"").unwrap();
println!(""{}"", content);",File content,read_to_string returns Result,fs::read_to_string(path)?
113,8,2026-03-31,"let line = ""apple,banana,cherry"";
let parts: Vec<&str> = line.split("","").collect();
println!(""{:?}"", parts);","[""apple"", ""banana"", ""cherry""]",split returns iterator,string.split(sep).collect()
114,8,2026-03-31,"let words = vec![""Hello"", "" "", ""World""];
let result: String = words.join("""");
println!(""{}"", result);",Hello World,join for iterables; needs &[&str],slice.join(sep)
206,8,2026-03-31,"println!(""{}"", 15 + 7);",22,Addition,a + b
207,8,2026-03-31,"println!(""{}"", 1000.50 - 250.25);",750.25,Subtraction,a - b
208,8,2026-03-31,"println!(""{}"", 12 * 8);",96,Multiplication,a * b
209,8,2026-03-31,"println!(""{}"", 20 / 3);  // = 6
println!(""{}"", 20.0 / 3.0);","6, 6.666...",int/int truncates; use f64 for decimals,a / b
210,8,2026-03-31,"println!(""{}"", 17 % 5);",2,Remainder,a % b
211,8,2026-03-31,"if 5 == 5 { println!(""Equal""); }",Equal,Equality,a == b
212,8,2026-03-31,"if 5 != 10 { println!(""Not""); }",Not,Inequality,a != b
213,8,2026-03-31,"if 21 > 18 { println!(""Greater""); }",Greater,Greater than,a > b
214,8,2026-03-31,"if 85 < 90 { println!(""Less""); }",Less,Less than,a < b
215,8,2026-03-31,"let age = 25; let license = true;
if age >= 18 && license { println!(""OK""); }",OK,Logical AND; short-circuits,a && b
216,8,2026-03-31,"if day == 6 || day == 0 { println!(""Weekend""); }",Weekend,Logical OR; short-circuits,a || b
217,8,2026-03-31,"if !logged_in { println!(""Login""); }",Login,Logical NOT,!a
218,8,2026-03-31,"let x = 42;
let y = x;",42,Assignment; moves ownership,let y = x;
219,8,2026-03-31,"println!(""{}"", 0b0101 & 0b0011);",1,Bitwise AND,a & b
220,8,2026-03-31,"println!(""{}"", 0b0101 | 0b0010);",7,Bitwise OR,a | b
221,8,2026-03-31,"// Rust uses == for all equality
println!(""{}"", 5 == 5);",true,Rust has no ===,a == b
279,8,2026-03-31,"let arr = [10, 20, 30, 40, 50];
let val = arr[2];
println!(""{}"", val);",30,Fixed-size; stack-based,[T; size]
280,8,2026-03-31,"use std::rc::Rc;
use std::cell::RefCell;
struct Node { data: i32, next: Option<Rc<RefCell<Node>>> }
// Manual management",Pointer chain,Rc + RefCell for shared mutable,Rc<RefCell<Node>>
281,8,2026-03-31,"enum Tree { Node { val: i32, left: Box<Tree>, right: Box<Tree> }, Leaf }
let root = Tree::Node { val: 5, left: Box::new(...), right: ... };",Binary tree,Enum + Box for recursive type,enum with Box
282,8,2026-03-31,"use std::collections::HashMap;
let mut graph: HashMap<String, Vec<String>> = HashMap::new();
graph.insert(""A"".to_string(), vec![""B"".to_string(), ""C"".to_string()]);",Adjacency list,HashMap + Vectors,"HashMap<K, Vec<V>>"
283,8,2026-03-31,"use std::collections::HashMap;
let mut table = HashMap::new();
table.insert(""apple"", 1.50);
table.insert(""banana"", 0.75);",Hash table,Built-in HashMap,"HashMap<K, V>"
284,8,2026-03-31,"let mut stack: Vec<i32> = Vec::new();
stack.push(10);
stack.push(20);
let top = stack.pop();",Some(20),Vec as stack; pop returns Option,vec.push(x); vec.pop()
285,8,2026-03-31,"use std::collections::VecDeque;
let mut queue = VecDeque::new();
queue.push_back(1);
queue.push_front(2);",VecDeque operations,VecDeque for efficient queue,VecDeque::new()
286,8,2026-03-31,"use std::collections::HashSet;
let mut set = HashSet::new();
set.insert(1);
set.insert(3);
set.insert(1);","{1, 3}",Built-in HashSet; auto dedup,HashSet::new()
287,8,2026-03-31,"use std::collections::HashMap;
let mut dict = HashMap::new();
dict.insert(""name"", ""Alice"");
dict.insert(""age"", 25);",HashMap key-value,Standard HashMap usage,HashMap::new()
288,8,2026-03-31,"struct Point { x: i32, y: i32 }
let p = Point { x: 10, y: 20 };
println!(""{}, {}"", p.x, p.y);","10, 20",Custom struct,struct Name { fields }
